Area,Screen,Action,Route,Phase,Placement
UserApp,Saved Views,"List, open, manage, share",/views,Phase 1,Left rail (below modules)
UserApp,Dashboards,"List, open, share",/dashboards,Phase 1,Left rail (below modules)
UserApp,Datasets (read-only),"List datasets, schema, owner, freshness",/datasets,Phase 2,Left rail (optional)
UserApp,Notifications,"List alerts, subscribe/unsubscribe",/notifications,Phase 2,Left rail (utility)
Help,Help Center,"Docs, tutorials, data dictionary",/help,Phase 1,Left rail (utility)
UserApp,Workspace Switcher,Switch workspace,/workspaces,Phase 1,Left rail (bottom dock)
UserApp,Settings (Profile),"Profile, locale, theme, notifications",/settings/profile,Phase 1,Top-right & bottom dock
Admin,Admin Hub,Org/Admin/Data consoles entry,/admin,Phase 1,Left rail (bottom dock)
Org,Overview,"Plan, usage meters, limits",/org/overview,Phase 1,Admin Hub → Org
Org,Team & Roles,"Invite, assign roles",/org/team,Phase 1,Admin Hub → Org
Org,Billing,"Plans, invoices, VAT",/org/billing,Phase 1,Admin Hub → Org
Org,Branding & Settings,"Logo/colors, locale, timezone",/org/settings,Phase 1,Admin Hub → Org
Org,Security,"MFA policy, SSO (Enterprise)",/org/security,Phase 2,Admin Hub → Org
Org,Audit,Exports/shares audit,/org/audit,Phase 2,Admin Hub → Org
Data,Sources,"Connectors: Supabase, CSV; schedules",/data/sources,Phase 1,Admin Hub → Data
Data,Uploads,"XLSX/CSV upload, schema detect, PII tags",/data/uploads,Phase 1,Admin Hub → Data
Data,Catalog,"Datasets, owner, freshness SLA",/data/catalog,Phase 1,Admin Hub → Data
Data,Policies,Row/Field-level security (Ent),/data/policies,Phase 3,Admin Hub → Data
Data,Quality,Schema/freshness/null tests + alerts,/data/quality,Phase 3,Admin Hub → Data
Data,Lineage,Upstream/downstream graph (MVP),/data/lineage,Phase 3,Admin Hub → Data
Admin,Integrations,"Slack/webhooks, email provider, PSP keys",/admin/integrations,Phase 1,Admin Hub
Admin,API Keys,Create/revoke keys; scopes,/admin/api-keys,Phase 2,Admin Hub
Admin,Status,System status/incidents link,/admin/status,Phase 1,Admin Hub
Auth,Signup,"Email+Password, Magic Link",/auth/signup,Phase 1,Standalone
Auth,Login,"Password, Magic, SSO",/auth/login,Phase 1,Standalone
Auth,Forgot Password,Reset flow,/auth/forgot,Phase 1,Standalone
Auth,MFA,TOTP + backup codes,/auth/mfa,Phase 2,Standalone
